task,group,frequency,coretype
0,32,9,2
1,32,9,2
2,32,4,1
3,32,9,2
4,32,4,1
5,32,9,2
6,32,9,2
7,32,4,1
8,32,9,2
9,32,9,2
10,32,9,2
11,32,4,1
12,32,9,2
13,32,9,2
14,32,9,2
15,32,9,2
16,32,9,2
17,32,4,1
18,32,4,1
19,32,9,2
20,32,9,2
21,32,9,2
22,32,9,2
23,32,4,0
24,32,4,1
25,32,9,2
26,32,4,1
27,32,4,1
28,32,9,2
29,32,9,2
30,32,9,2
31,32,3,0
32,32,4,1
33,32,4,0
34,32,9,2
35,32,4,0
36,32,3,0
37,32,4,1
38,32,9,2
39,32,3,0
40,32,4,1
41,32,9,2
42,32,9,2
43,32,4,1
44,32,9,2
45,32,9,2
46,32,9,2
47,32,9,2
48,32,3,0
49,32,9,2
50,32,9,2
51,32,9,2
52,32,9,2
53,32,4,1
54,32,4,1
55,32,3,0
56,32,9,2
57,32,9,2
58,32,4,1
59,32,9,2
60,32,9,2
61,32,4,1
62,32,9,2
63,32,4,1
64,32,4,1
65,32,4,1
66,32,9,2
67,32,9,2
68,32,4,0
69,32,9,2
70,32,9,2
71,32,9,2
72,32,9,2
73,32,9,2
74,32,4,1
75,32,9,2
76,32,4,0
77,32,4,1
78,32,9,2
79,32,9,2
