id,workload,max_width,tasktype
0,28.0,4,SIMD
1,27.0,4,SIMD
2,31.0,4,MATMUL
3,13.0,1,BRANCH
4,27.0,4,MATMUL
5,2.0,1,BRANCH
6,12.0,1,BRANCH
7,7.0,4,MATMUL
8,4.0,1,BRANCH
9,34.0,2,FMULT
10,5.0,1,BRANCH
11,30.0,4,SIMD
12,25.0,4,MATMUL
13,9.0,1,BRANCH
14,23.0,4,FMULT
15,35.0,4,MATMUL
16,12.0,1,BRANCH
17,6.0,1,BRANCH
18,17.0,4,SIMD
19,13.0,4,SIMD
20,22.0,4,SIMD
21,18.0,4,SIMD
22,22.0,2,MEMORY
23,22.0,4,SIMD
24,22.0,4,SIMD
25,12.0,1,BRANCH
26,10.0,1,BRANCH
27,26.0,2,MEMORY
28,10.0,1,BRANCH
29,23.0,4,FMULT
30,24.0,4,SIMD
31,38.0,2,MEMORY
32,21.0,4,MATMUL
33,16.0,4,MATMUL
34,20.0,4,MATMUL
35,21.0,4,MATMUL
36,26.0,4,SIMD
37,16.0,4,MEMORY
38,22.0,4,FMULT
39,20.0,4,MEMORY
40,13.0,4,MATMUL
41,19.0,4,FMULT
42,31.0,4,SIMD
43,28.0,4,MEMORY
44,13.0,4,SIMD
45,23.0,4,MEMORY
46,30.0,2,MEMORY
47,4.0,1,BRANCH
48,15.0,4,MATMUL
49,29.0,4,MATMUL
50,13.0,2,FMULT
51,37.0,4,MATMUL
52,11.0,1,BRANCH
53,6.0,2,FMULT
54,10.0,4,MATMUL
55,14.0,2,FMULT
56,17.0,2,FMULT
57,21.0,4,SIMD
58,17.0,2,FMULT
59,23.0,4,FMULT
60,21.0,4,SIMD
61,26.0,4,FMULT
62,7.0,4,SIMD
63,8.0,1,BRANCH
64,8.0,1,BRANCH
65,16.0,4,MATMUL
66,20.0,4,MEMORY
67,31.0,4,MATMUL
68,26.0,4,FMULT
69,15.0,1,BRANCH
70,23.0,4,MEMORY
71,19.0,4,SIMD
72,23.0,4,MATMUL
73,6.0,4,SIMD
74,30.0,4,FMULT
75,29.0,4,MATMUL
76,35.0,2,FMULT
77,21.0,2,FMULT
78,30.0,4,MEMORY
79,8.0,1,BRANCH
