id,workload,max_width,tasktype
0,18.0,4,FMULT
1,18.0,4,MATMUL
2,6.0,1,BRANCH
3,10.0,2,MEMORY
4,25.0,4,SIMD
5,21.0,4,MATMUL
6,15.0,4,MEMORY
7,24.0,2,MEMORY
8,20.0,2,MEMORY
9,21.0,4,SIMD
10,14.0,4,FMULT
11,5.0,1,BRANCH
12,12.0,4,MATMUL
13,26.0,4,FMULT
14,19.0,4,SIMD
15,6.0,4,MATMUL
16,28.0,4,SIMD
17,20.0,4,SIMD
18,32.0,4,MATMUL
19,19.0,2,MEMORY
20,12.0,1,BRANCH
21,5.0,2,MEMORY
22,4.0,1,BRANCH
23,4.0,4,SIMD
24,22.0,4,MEMORY
25,24.0,2,FMULT
26,29.0,4,SIMD
27,13.0,4,MATMUL
28,29.0,2,FMULT
29,8.0,2,MEMORY
30,6.0,1,BRANCH
31,5.0,4,SIMD
32,19.0,4,MEMORY
33,26.0,2,FMULT
34,14.0,2,FMULT
35,7.0,4,SIMD
36,2.0,1,BRANCH
37,9.0,4,MATMUL
38,21.0,4,SIMD
39,24.0,4,FMULT
40,17.0,4,MATMUL
41,19.0,4,SIMD
42,3.0,2,FMULT
43,11.0,1,BRANCH
44,12.0,1,BRANCH
45,20.0,2,FMULT
46,3.0,1,BRANCH
47,3.0,1,BRANCH
48,12.0,1,BRANCH
49,17.0,2,FMULT
50,21.0,2,MEMORY
51,10.0,1,BRANCH
52,16.0,4,SIMD
53,8.0,1,BRANCH
54,11.0,1,BRANCH
55,19.0,4,SIMD
56,11.0,4,MATMUL
57,30.0,4,MATMUL
58,10.0,2,MEMORY
59,26.0,4,MEMORY
60,12.0,4,FMULT
61,26.0,4,SIMD
62,29.0,2,FMULT
63,27.0,4,FMULT
64,10.0,2,MEMORY
65,20.0,4,MATMUL
66,28.0,4,SIMD
67,16.0,4,MATMUL
68,21.0,4,MATMUL
69,21.0,4,SIMD
70,20.0,4,MATMUL
71,5.0,1,BRANCH
72,15.0,1,BRANCH
73,5.0,4,SIMD
74,19.0,2,MEMORY
75,27.0,2,MEMORY
76,15.0,4,MEMORY
77,30.0,4,FMULT
78,27.0,4,MATMUL
79,22.0,2,MEMORY
