id,workload,max_width,tasktype
0,21.0,4,SIMD
1,22.0,4,FMULT
2,12.0,4,MEMORY
3,28.0,4,MATMUL
4,32.0,2,MEMORY
5,10.0,1,BRANCH
6,11.0,1,BRANCH
7,12.0,2,MEMORY
8,23.0,2,MEMORY
9,37.0,4,MATMUL
10,17.0,4,SIMD
11,30.0,4,MATMUL
12,14.0,1,BRANCH
13,17.0,4,MATMUL
14,27.0,4,SIMD
15,33.0,4,SIMD
16,16.0,4,FMULT
17,7.0,1,BRANCH
18,11.0,4,MATMUL
19,35.0,4,SIMD
20,10.0,4,SIMD
21,25.0,4,FMULT
22,26.0,4,MATMUL
23,12.0,4,MATMUL
24,8.0,4,SIMD
25,13.0,2,FMULT
26,29.0,4,MATMUL
27,15.0,2,FMULT
28,27.0,4,SIMD
29,21.0,4,SIMD
30,11.0,1,BRANCH
31,22.0,4,MATMUL
32,28.0,2,MEMORY
33,4.0,2,MEMORY
34,37.0,4,SIMD
35,2.0,2,MEMORY
36,14.0,2,FMULT
37,19.0,1,BRANCH
38,3.0,4,MATMUL
39,10.0,4,FMULT
