id,workload,max_width,tasktype
0,17.0,2,MEMORY
1,19.0,4,MATMUL
2,3.0,2,MEMORY
3,27.0,4,MATMUL
4,10.0,1,BRANCH
5,20.0,4,SIMD
6,9.0,4,MATMUL
7,9.0,4,MATMUL
8,9.0,1,BRANCH
9,17.0,4,MATMUL
10,21.0,4,SIMD
11,26.0,2,FMULT
12,16.0,4,SIMD
13,21.0,4,MATMUL
14,27.0,4,MATMUL
15,19.0,4,MATMUL
16,11.0,4,SIMD
17,30.0,4,MATMUL
18,10.0,2,FMULT
19,26.0,4,SIMD
20,4.0,1,BRANCH
21,26.0,4,MATMUL
22,29.0,4,MATMUL
23,27.0,4,SIMD
24,3.0,1,BRANCH
25,20.0,4,MATMUL
26,28.0,4,MEMORY
27,5.0,1,BRANCH
28,7.0,1,BRANCH
29,21.0,4,SIMD
30,20.0,4,MATMUL
31,12.0,4,SIMD
32,38.0,2,MEMORY
33,5.0,4,FMULT
34,19.0,4,FMULT
35,9.0,1,BRANCH
36,15.0,4,MATMUL
37,10.0,1,BRANCH
38,9.0,1,BRANCH
39,22.0,4,FMULT
