id,workload,max_width,tasktype
0,10.0,4,MEMORY
1,27.0,4,FMULT
2,9.0,4,SIMD
3,10.0,4,MATMUL
4,8.0,1,BRANCH
5,22.0,4,MEMORY
6,3.0,1,BRANCH
7,18.0,4,FMULT
8,12.0,1,BRANCH
9,8.0,1,BRANCH
10,26.0,4,MATMUL
11,6.0,1,BRANCH
12,31.0,4,MATMUL
13,6.0,4,FMULT
14,19.0,4,MEMORY
15,8.0,1,BRANCH
16,21.0,2,FMULT
17,9.0,2,MEMORY
18,14.0,4,MATMUL
19,19.0,4,MATMUL
20,31.0,4,MEMORY
21,20.0,4,SIMD
22,1.0,1,BRANCH
23,9.0,1,BRANCH
24,4.0,1,BRANCH
25,7.0,4,MATMUL
26,33.0,2,MEMORY
27,17.0,4,SIMD
28,9.0,1,BRANCH
29,12.0,4,SIMD
30,1.0,1,BRANCH
31,15.0,2,FMULT
32,9.0,1,BRANCH
33,6.0,1,BRANCH
34,23.0,4,SIMD
35,36.0,2,MEMORY
36,12.0,1,BRANCH
37,34.0,4,SIMD
38,14.0,4,MATMUL
39,20.0,2,FMULT
40,34.0,4,MATMUL
41,24.0,2,MEMORY
42,11.0,1,BRANCH
43,11.0,2,FMULT
44,23.0,4,MATMUL
45,8.0,1,BRANCH
46,18.0,4,FMULT
47,34.0,4,FMULT
48,23.0,4,MATMUL
49,23.0,2,FMULT
50,27.0,4,SIMD
51,19.0,4,MATMUL
52,15.0,4,MEMORY
53,23.0,4,MATMUL
54,15.0,4,MEMORY
55,14.0,4,MATMUL
56,30.0,4,SIMD
57,16.0,4,MATMUL
58,18.0,2,MEMORY
59,20.0,4,MEMORY
60,10.0,4,SIMD
61,28.0,4,FMULT
62,24.0,4,FMULT
63,11.0,1,BRANCH
64,14.0,4,SIMD
65,12.0,2,MEMORY
66,32.0,4,SIMD
67,22.0,4,MATMUL
68,1.0,1,BRANCH
69,16.0,4,FMULT
70,7.0,4,MEMORY
71,2.0,1,BRANCH
72,27.0,4,MEMORY
73,18.0,4,MEMORY
74,29.0,4,FMULT
75,25.0,4,SIMD
76,3.0,4,MATMUL
77,27.0,4,SIMD
78,16.0,4,MATMUL
79,33.0,2,MEMORY
