id,workload,max_width,tasktype
0,7.0,1,BRANCH
1,12.0,2,MEMORY
2,18.0,4,FMULT
3,10.0,4,SIMD
4,21.0,2,MEMORY
5,20.0,4,MATMUL
6,19.0,4,MATMUL
7,31.0,4,MATMUL
8,32.0,4,MATMUL
9,26.0,4,SIMD
10,13.0,4,FMULT
11,10.0,1,BRANCH
12,22.0,4,FMULT
13,21.0,4,MATMUL
14,14.0,2,FMULT
15,20.0,4,FMULT
16,25.0,4,FMULT
17,19.0,4,FMULT
18,18.0,4,MATMUL
19,17.0,4,SIMD
20,8.0,4,MEMORY
21,8.0,1,BRANCH
22,20.0,4,SIMD
23,18.0,4,SIMD
24,19.0,4,FMULT
25,18.0,4,MATMUL
26,1.0,4,MATMUL
27,17.0,4,MATMUL
28,12.0,1,BRANCH
29,22.0,4,FMULT
30,5.0,4,MEMORY
31,20.0,4,SIMD
32,13.0,4,SIMD
33,32.0,4,FMULT
34,29.0,4,SIMD
35,29.0,2,MEMORY
36,5.0,4,MATMUL
37,23.0,4,MATMUL
38,22.0,4,SIMD
39,5.0,1,BRANCH
40,8.0,1,BRANCH
41,4.0,1,BRANCH
42,22.0,4,FMULT
43,8.0,4,SIMD
44,9.0,1,BRANCH
45,20.0,4,MATMUL
46,11.0,4,FMULT
47,20.0,4,SIMD
48,20.0,4,MATMUL
49,12.0,4,MEMORY
50,20.0,4,SIMD
51,4.0,2,MEMORY
52,10.0,2,MEMORY
53,28.0,4,MATMUL
54,7.0,4,MEMORY
55,12.0,1,BRANCH
56,19.0,4,SIMD
57,16.0,2,MEMORY
58,17.0,4,SIMD
59,34.0,4,SIMD
60,4.0,1,BRANCH
61,4.0,1,BRANCH
62,12.0,1,BRANCH
63,25.0,4,MEMORY
64,5.0,4,FMULT
65,8.0,1,BRANCH
66,38.0,4,SIMD
67,8.0,4,MATMUL
68,12.0,2,FMULT
69,7.0,1,BRANCH
70,20.0,2,MEMORY
71,3.0,1,BRANCH
72,21.0,4,MEMORY
73,18.0,4,MEMORY
74,28.0,4,MATMUL
75,20.0,4,MEMORY
76,9.0,1,BRANCH
77,23.0,4,MATMUL
78,6.0,2,MEMORY
79,14.0,4,SIMD
