id,workload,max_width,tasktype
0,10.0,4,MATMUL
1,25.0,2,FMULT
2,21.0,2,FMULT
3,4.0,1,BRANCH
4,10.0,1,BRANCH
5,25.0,4,MATMUL
6,31.0,4,MEMORY
7,10.0,4,SIMD
8,30.0,4,MATMUL
9,20.0,4,MEMORY
10,7.0,4,MATMUL
11,34.0,2,MEMORY
12,12.0,4,MEMORY
13,26.0,4,MEMORY
14,14.0,2,FMULT
15,3.0,1,BRANCH
16,31.0,4,SIMD
17,14.0,1,BRANCH
18,22.0,4,SIMD
19,26.0,2,MEMORY
20,32.0,4,MEMORY
21,13.0,1,BRANCH
22,28.0,4,MEMORY
23,10.0,4,MATMUL
24,18.0,4,SIMD
25,16.0,2,MEMORY
26,30.0,4,MEMORY
27,28.0,4,SIMD
28,23.0,4,MATMUL
29,10.0,1,BRANCH
30,24.0,4,MEMORY
31,20.0,4,MATMUL
32,27.0,4,MEMORY
33,25.0,4,MATMUL
34,19.0,2,FMULT
35,6.0,1,BRANCH
36,22.0,4,SIMD
37,34.0,4,MEMORY
38,10.0,1,BRANCH
39,8.0,4,MEMORY
40,13.0,2,MEMORY
41,12.0,1,BRANCH
42,13.0,4,FMULT
43,24.0,2,FMULT
44,4.0,1,BRANCH
45,13.0,2,MEMORY
46,20.0,2,MEMORY
47,29.0,4,MATMUL
48,26.0,4,MATMUL
49,17.0,4,MATMUL
50,10.0,1,BRANCH
51,36.0,2,MEMORY
52,20.0,4,SIMD
53,37.0,4,MEMORY
54,5.0,1,BRANCH
55,30.0,2,FMULT
56,11.0,1,BRANCH
57,8.0,4,MEMORY
58,38.0,4,SIMD
59,17.0,4,FMULT
60,8.0,1,BRANCH
61,23.0,2,FMULT
62,21.0,2,MEMORY
63,8.0,4,MATMUL
64,5.0,4,FMULT
65,11.0,4,SIMD
66,38.0,2,FMULT
67,16.0,2,MEMORY
68,16.0,4,MATMUL
69,9.0,1,BRANCH
70,16.0,4,FMULT
71,14.0,2,MEMORY
72,13.0,1,BRANCH
73,26.0,4,MEMORY
74,14.0,4,MEMORY
75,19.0,4,MEMORY
76,33.0,4,MATMUL
77,13.0,2,MEMORY
78,12.0,4,SIMD
79,19.0,2,FMULT
