id,workload,max_width,tasktype
0,6.0,1,BRANCH
1,24.0,2,MEMORY
2,7.0,1,BRANCH
3,30.0,4,MATMUL
4,22.0,4,MATMUL
5,26.0,4,MEMORY
6,18.0,4,SIMD
7,2.0,1,BRANCH
8,39.0,4,MEMORY
9,31.0,2,MEMORY
10,5.0,1,BRANCH
11,21.0,4,FMULT
12,27.0,4,MEMORY
13,4.0,1,BRANCH
14,8.0,4,FMULT
15,19.0,4,MATMUL
16,33.0,4,SIMD
17,24.0,4,SIMD
18,4.0,1,BRANCH
19,16.0,4,SIMD
20,31.0,2,FMULT
21,3.0,1,BRANCH
22,4.0,1,BRANCH
23,4.0,1,BRANCH
24,1.0,1,BRANCH
25,18.0,4,MATMUL
26,25.0,2,FMULT
27,20.0,4,MATMUL
28,3.0,1,BRANCH
29,3.0,1,BRANCH
30,24.0,4,SIMD
31,21.0,4,SIMD
32,3.0,1,BRANCH
33,22.0,4,SIMD
34,18.0,4,MATMUL
35,18.0,4,MEMORY
36,4.0,1,BRANCH
37,3.0,1,BRANCH
38,21.0,4,SIMD
39,16.0,4,MEMORY
