id,workload,max_width,tasktype
0,13.0,2,FMULT
1,20.0,4,MATMUL
2,20.0,2,FMULT
3,14.0,4,SIMD
4,20.0,1,BRANCH
5,20.0,4,SIMD
6,19.0,4,MATMUL
7,11.0,1,BRANCH
8,25.0,4,FMULT
9,8.0,1,BRANCH
10,20.0,1,BRANCH
11,10.0,4,MATMUL
12,20.0,4,MATMUL
13,17.0,4,FMULT
14,28.0,4,MATMUL
15,39.0,4,MEMORY
16,20.0,4,MEMORY
17,32.0,2,MEMORY
18,19.0,4,MEMORY
19,18.0,4,SIMD
20,10.0,1,BRANCH
21,19.0,4,MATMUL
22,6.0,2,MEMORY
23,15.0,2,MEMORY
24,29.0,4,MATMUL
25,16.0,4,MEMORY
26,30.0,4,FMULT
27,14.0,4,FMULT
28,15.0,1,BRANCH
29,26.0,4,MATMUL
30,29.0,4,SIMD
31,33.0,2,FMULT
32,24.0,4,SIMD
33,27.0,4,MATMUL
34,10.0,4,FMULT
35,13.0,2,FMULT
36,13.0,1,BRANCH
37,22.0,4,MATMUL
38,28.0,4,SIMD
39,18.0,4,SIMD
40,24.0,2,MEMORY
41,18.0,2,MEMORY
42,20.0,4,MEMORY
43,15.0,1,BRANCH
44,22.0,4,SIMD
45,18.0,2,FMULT
46,34.0,4,SIMD
47,19.0,4,SIMD
48,14.0,2,FMULT
49,20.0,2,FMULT
50,10.0,4,MEMORY
51,29.0,4,MATMUL
52,15.0,1,BRANCH
53,18.0,4,MATMUL
54,27.0,2,MEMORY
55,9.0,2,MEMORY
56,6.0,1,BRANCH
57,24.0,4,MATMUL
58,17.0,4,SIMD
59,15.0,4,FMULT
60,37.0,4,FMULT
61,29.0,4,SIMD
62,22.0,2,FMULT
63,9.0,4,MATMUL
64,14.0,2,FMULT
65,11.0,1,BRANCH
66,20.0,4,SIMD
67,35.0,4,FMULT
68,17.0,4,FMULT
69,16.0,4,SIMD
70,10.0,4,FMULT
71,14.0,4,MATMUL
72,6.0,1,BRANCH
73,30.0,4,MATMUL
74,26.0,4,MATMUL
75,26.0,4,SIMD
76,17.0,4,FMULT
77,14.0,4,MEMORY
78,23.0,4,MEMORY
79,14.0,2,MEMORY
