id,workload,max_width,tasktype
0,18.0,2,FMULT
1,12.0,1,BRANCH
2,14.0,4,SIMD
3,31.0,4,FMULT
4,21.0,4,SIMD
5,17.0,4,MATMUL
6,24.0,4,MATMUL
7,2.0,1,BRANCH
8,21.0,4,MATMUL
9,22.0,4,SIMD
10,25.0,4,SIMD
11,12.0,4,MATMUL
12,12.0,1,BRANCH
13,32.0,2,MEMORY
14,22.0,4,MATMUL
15,29.0,4,MATMUL
16,22.0,4,MATMUL
17,6.0,1,BRANCH
18,17.0,4,MATMUL
19,15.0,4,MEMORY
20,13.0,2,MEMORY
21,17.0,2,MEMORY
22,11.0,1,BRANCH
23,13.0,4,MATMUL
24,8.0,4,MATMUL
25,19.0,2,MEMORY
26,11.0,2,MEMORY
27,5.0,1,BRANCH
28,20.0,2,FMULT
29,19.0,4,SIMD
30,8.0,1,BRANCH
31,22.0,4,MATMUL
32,4.0,4,SIMD
33,14.0,4,MEMORY
34,9.0,1,BRANCH
35,18.0,4,FMULT
36,21.0,4,MATMUL
37,31.0,4,SIMD
38,17.0,4,FMULT
39,32.0,4,FMULT
