id,workload,max_width,tasktype
0,23.0,4,MEMORY
1,5.0,1,BRANCH
2,21.0,2,MEMORY
3,26.0,1,BRANCH
4,16.0,1,BRANCH
5,21.0,4,FMULT
6,21.0,4,SIMD
7,14.0,4,MEMORY
8,23.0,4,FMULT
9,30.0,4,SIMD
10,35.0,2,FMULT
11,11.0,4,MATMUL
12,2.0,1,BRANCH
13,7.0,1,BRANCH
14,27.0,4,MATMUL
15,19.0,2,MEMORY
16,21.0,4,MATMUL
17,32.0,4,MATMUL
18,17.0,4,MEMORY
19,31.0,4,SIMD
20,27.0,4,FMULT
21,9.0,4,SIMD
22,25.0,4,SIMD
23,23.0,4,MATMUL
24,10.0,4,SIMD
25,24.0,4,MATMUL
26,11.0,1,BRANCH
27,10.0,1,BRANCH
28,24.0,4,MATMUL
29,25.0,4,FMULT
30,21.0,4,FMULT
31,19.0,4,SIMD
32,28.0,2,MEMORY
33,24.0,2,MEMORY
34,32.0,4,MATMUL
35,19.0,4,SIMD
36,8.0,4,SIMD
37,5.0,4,FMULT
38,30.0,2,FMULT
39,21.0,2,FMULT
