id,workload,max_width,tasktype
0,24.0,2,MEMORY
1,13.0,4,MEMORY
2,12.0,1,BRANCH
3,8.0,4,FMULT
4,27.0,4,MATMUL
5,20.0,2,FMULT
6,11.0,2,FMULT
7,20.0,2,MEMORY
8,20.0,4,MATMUL
9,12.0,4,MATMUL
10,11.0,1,BRANCH
11,4.0,4,MEMORY
12,10.0,2,MEMORY
13,28.0,4,MATMUL
14,7.0,4,MATMUL
15,34.0,4,SIMD
16,19.0,4,MATMUL
17,16.0,4,MATMUL
18,17.0,4,FMULT
19,34.0,4,MATMUL
20,12.0,4,MEMORY
21,13.0,4,FMULT
22,34.0,2,MEMORY
23,25.0,4,MATMUL
24,5.0,4,MATMUL
25,12.0,1,BRANCH
26,38.0,2,FMULT
27,4.0,1,BRANCH
28,12.0,2,FMULT
29,20.0,4,MATMUL
30,11.0,1,BRANCH
31,9.0,4,MATMUL
32,21.0,4,MATMUL
33,18.0,4,MATMUL
34,28.0,4,SIMD
35,20.0,4,SIMD
36,26.0,4,SIMD
37,13.0,1,BRANCH
38,3.0,1,BRANCH
39,14.0,4,MATMUL
