id,workload,max_width,tasktype
0,28.0,4,MEMORY
1,14.0,2,FMULT
2,4.0,4,FMULT
3,9.0,4,SIMD
4,26.0,4,MATMUL
5,16.0,4,MEMORY
6,23.0,4,FMULT
7,27.0,4,SIMD
8,20.0,4,MATMUL
9,10.0,4,SIMD
10,22.0,4,MATMUL
11,22.0,4,FMULT
12,17.0,1,BRANCH
13,36.0,4,MEMORY
14,9.0,1,BRANCH
15,9.0,4,MATMUL
16,18.0,2,MEMORY
17,19.0,4,MATMUL
18,33.0,4,MATMUL
19,7.0,1,BRANCH
20,29.0,4,SIMD
21,19.0,4,SIMD
22,15.0,2,MEMORY
23,32.0,4,MEMORY
24,1.0,4,SIMD
25,2.0,1,BRANCH
26,36.0,4,MEMORY
27,27.0,4,MATMUL
28,22.0,2,FMULT
29,20.0,4,MATMUL
30,20.0,4,MATMUL
31,9.0,2,FMULT
32,14.0,1,BRANCH
33,18.0,4,MATMUL
34,17.0,1,BRANCH
35,24.0,4,MATMUL
36,27.0,4,MATMUL
37,7.0,1,BRANCH
38,28.0,4,MATMUL
39,36.0,4,MATMUL
