id,workload,max_width,tasktype
0,9.0,1,BRANCH
1,28.0,4,MATMUL
2,20.0,4,MATMUL
3,10.0,1,BRANCH
4,19.0,4,SIMD
5,25.0,4,FMULT
6,25.0,4,MEMORY
7,25.0,4,SIMD
8,16.0,4,MEMORY
9,13.0,4,MATMUL
10,19.0,2,FMULT
11,7.0,2,MEMORY
12,12.0,4,SIMD
13,22.0,4,MEMORY
14,35.0,4,MEMORY
15,22.0,2,MEMORY
16,20.0,4,SIMD
17,28.0,4,MATMUL
18,7.0,1,BRANCH
19,37.0,4,MATMUL
20,21.0,4,MATMUL
21,13.0,4,MATMUL
22,10.0,4,MEMORY
23,15.0,4,MATMUL
24,11.0,1,BRANCH
25,29.0,2,FMULT
26,19.0,1,BRANCH
27,18.0,2,MEMORY
28,24.0,4,MATMUL
29,7.0,4,MATMUL
30,20.0,1,BRANCH
31,4.0,4,MEMORY
32,19.0,2,FMULT
33,20.0,4,SIMD
34,31.0,4,MATMUL
35,13.0,2,FMULT
36,20.0,4,SIMD
37,18.0,4,MEMORY
38,23.0,4,MATMUL
39,16.0,4,MEMORY
40,20.0,4,SIMD
41,26.0,4,FMULT
42,21.0,4,SIMD
43,32.0,4,MEMORY
44,22.0,4,SIMD
45,4.0,4,MATMUL
46,7.0,4,MATMUL
47,1.0,1,BRANCH
48,18.0,1,BRANCH
49,11.0,4,MATMUL
50,19.0,2,MEMORY
51,21.0,4,MATMUL
52,10.0,4,MATMUL
53,29.0,4,SIMD
54,11.0,4,SIMD
55,28.0,2,FMULT
56,30.0,4,SIMD
57,11.0,4,MEMORY
58,16.0,4,MEMORY
59,16.0,4,MATMUL
60,21.0,4,MEMORY
61,20.0,4,MATMUL
62,27.0,4,MATMUL
63,13.0,2,FMULT
64,24.0,4,SIMD
65,15.0,4,MATMUL
66,27.0,2,MEMORY
67,2.0,4,SIMD
68,34.0,2,FMULT
69,31.0,4,MEMORY
70,15.0,4,MATMUL
71,17.0,4,MATMUL
72,32.0,2,FMULT
73,16.0,4,MATMUL
74,11.0,4,MATMUL
75,26.0,4,FMULT
76,30.0,1,BRANCH
77,18.0,1,BRANCH
78,8.0,2,MEMORY
79,24.0,2,MEMORY
