id,workload,max_width,tasktype
0,37.0,2,FMULT
1,17.0,2,FMULT
2,12.0,4,MATMUL
3,7.0,1,BRANCH
4,25.0,4,MATMUL
5,23.0,2,FMULT
6,8.0,1,BRANCH
7,23.0,4,MEMORY
8,34.0,4,MEMORY
9,19.0,4,MATMUL
10,3.0,1,BRANCH
11,17.0,2,FMULT
12,17.0,4,SIMD
13,2.0,4,SIMD
14,6.0,1,BRANCH
15,17.0,4,MATMUL
16,17.0,4,FMULT
17,3.0,1,BRANCH
18,21.0,4,MATMUL
19,23.0,4,MATMUL
20,7.0,1,BRANCH
21,9.0,1,BRANCH
22,15.0,2,MEMORY
23,19.0,2,MEMORY
24,21.0,2,FMULT
25,29.0,2,MEMORY
26,28.0,2,FMULT
27,13.0,4,MATMUL
28,15.0,4,SIMD
29,0.0,1,BRANCH
30,6.0,1,BRANCH
31,18.0,2,FMULT
32,34.0,4,FMULT
33,26.0,2,MEMORY
34,27.0,4,SIMD
35,19.0,4,SIMD
36,14.0,4,MEMORY
37,27.0,2,MEMORY
38,8.0,1,BRANCH
39,4.0,1,BRANCH
