id,workload,max_width,tasktype
0,21.0,4,MATMUL
1,18.0,4,SIMD
2,21.0,4,SIMD
3,20.0,4,SIMD
4,1.0,1,BRANCH
5,19.0,4,MATMUL
6,5.0,1,BRANCH
7,39.0,4,SIMD
8,14.0,4,MEMORY
9,23.0,2,FMULT
10,5.0,1,BRANCH
11,8.0,1,BRANCH
12,7.0,1,BRANCH
13,12.0,4,MEMORY
14,13.0,4,MATMUL
15,7.0,1,BRANCH
16,19.0,2,MEMORY
17,6.0,1,BRANCH
18,31.0,4,SIMD
19,7.0,4,MATMUL
20,29.0,4,SIMD
21,23.0,2,FMULT
22,30.0,4,SIMD
23,11.0,4,FMULT
24,4.0,4,MEMORY
25,4.0,1,BRANCH
26,22.0,4,MATMUL
27,22.0,4,SIMD
28,9.0,4,MATMUL
29,16.0,2,MEMORY
30,22.0,4,SIMD
31,14.0,4,SIMD
32,17.0,4,MEMORY
33,19.0,4,MATMUL
34,11.0,1,BRANCH
35,24.0,2,MEMORY
36,4.0,1,BRANCH
37,11.0,2,MEMORY
38,29.0,2,MEMORY
39,26.0,4,MATMUL
