id,workload,max_width,tasktype
0,15.0,1,BRANCH
1,20.0,2,FMULT
2,20.0,4,MATMUL
3,7.0,1,BRANCH
4,18.0,4,MATMUL
5,23.0,4,MEMORY
6,35.0,2,MEMORY
7,19.0,2,FMULT
8,18.0,4,SIMD
9,23.0,4,MATMUL
10,33.0,2,FMULT
11,18.0,4,FMULT
12,10.0,4,MEMORY
13,8.0,1,BRANCH
14,17.0,4,FMULT
15,14.0,4,MEMORY
16,26.0,4,SIMD
17,10.0,4,SIMD
18,27.0,4,SIMD
19,22.0,4,SIMD
20,20.0,4,MEMORY
21,28.0,4,SIMD
22,17.0,4,MATMUL
23,16.0,4,MATMUL
24,17.0,4,FMULT
25,26.0,4,FMULT
26,35.0,4,MEMORY
27,13.0,4,FMULT
28,38.0,4,MATMUL
29,7.0,4,MATMUL
30,33.0,2,FMULT
31,12.0,4,SIMD
32,14.0,2,FMULT
33,24.0,4,MATMUL
34,21.0,4,FMULT
35,24.0,4,FMULT
36,23.0,1,BRANCH
37,36.0,4,MATMUL
38,13.0,1,BRANCH
39,3.0,4,FMULT
40,30.0,4,FMULT
41,24.0,4,SIMD
42,33.0,4,FMULT
43,30.0,2,MEMORY
44,22.0,4,SIMD
45,19.0,1,BRANCH
46,18.0,4,MATMUL
47,9.0,1,BRANCH
48,39.0,4,MATMUL
49,23.0,1,BRANCH
50,23.0,4,SIMD
51,21.0,4,MATMUL
52,27.0,4,SIMD
53,21.0,4,MEMORY
54,8.0,2,MEMORY
55,19.0,4,MATMUL
56,33.0,4,FMULT
57,17.0,1,BRANCH
58,20.0,4,MATMUL
59,16.0,2,FMULT
60,31.0,4,SIMD
61,16.0,2,FMULT
62,19.0,2,MEMORY
63,19.0,4,MATMUL
64,5.0,4,SIMD
65,18.0,4,MEMORY
66,25.0,4,MATMUL
67,20.0,4,SIMD
68,15.0,4,MATMUL
69,16.0,4,MATMUL
70,24.0,4,MEMORY
71,21.0,4,MATMUL
72,17.0,4,MEMORY
73,22.0,2,MEMORY
74,18.0,2,FMULT
75,18.0,2,MEMORY
76,20.0,2,FMULT
77,12.0,1,BRANCH
78,21.0,4,SIMD
79,11.0,1,BRANCH
